time,CSB,location,AFS63,COV19,Temperature
-10,0.0,MW052,0.0,0.0,0.0
-5,0.0,MW052,0.0,0.0,0.0
0,0.0,MW052,0.0,0.0,0.0
5,107.0,MW052,8.0,0.1,0.0
10,107.0,MW052,8.0,0.1,0.0
15,107.0,MW052,8.3,0.7,0.0
20,107.0,MW052,8.9,1.2,0.0
25,107.0,MW052,9.8,1.4,0.0
30,107.0,MW052,11.6,1.7,0.0
35,107.0,MW052,13.7,1.9,0.0
40,107.0,MW052,16.6,2.0,0.0
45,107.0,MW052,20.3,2.5,0.0
50,107.0,MW052,24.5,4.4,0.0
55,107.0,MW052,28.8,8.4,0.0
60,107.0,MW052,32.9,14.6,0.0
65,107.0,MW052,36.5,22.9,0.0
70,107.0,MW052,39.7,33.2,0.0
75,107.0,MW052,42.5,44.8,0.0
80,107.0,MW052,44.9,56.8,0.0
85,107.0,MW052,46.9,68.3,0.0
90,107.0,MW052,48.6,79.0,0.0
95,107.0,MW052,49.9,88.6,0.0
100,106.9,MW052,51.1,97.0,0.0
105,106.9,MW052,52.1,104.5,0.0
110,106.9,MW052,53.0,111.1,0.0
115,106.9,MW052,53.8,116.9,0.0
120,106.9,MW052,54.4,122.1,0.0
125,106.9,MW052,55.0,126.6,0.0
130,106.9,MW052,55.6,130.7,0.0
135,106.9,MW052,56.0,134.3,0.0
140,106.9,MW052,56.4,137.5,0.0
145,106.9,MW052,56.8,140.4,0.0
150,106.9,MW052,57.2,143.1,0.0
155,106.9,MW052,57.5,145.4,0.0
160,106.9,MW052,57.7,147.6,0.0
165,106.9,MW052,58.0,149.6,0.0
170,106.9,MW052,58.2,151.4,0.0
175,106.9,MW052,58.4,153.1,0.0
180,106.9,MW052,58.6,154.6,0.0
185,106.9,MW052,58.8,156.1,0.0
190,106.9,MW052,59.0,157.4,0.0
195,106.9,MW052,59.1,158.6,0.0
200,106.9,MW052,59.3,159.7,0.0
205,106.9,MW052,59.4,160.8,0.0
210,106.9,MW052,59.5,161.7,0.0
215,106.9,MW052,59.6,162.5,0.0
220,106.9,MW052,59.7,163.3,0.0
225,106.9,MW052,59.8,163.9,0.0
230,106.9,MW052,59.9,164.5,0.0
235,106.9,MW052,59.9,165.1,0.0
240,106.9,MW052,60.0,165.5,0.0
245,106.9,MW052,60.1,166.0,0.0
250,106.9,MW052,60.1,166.3,0.0
255,106.9,MW052,60.2,166.7,0.0
260,106.9,MW052,60.2,167.0,0.0
265,106.9,MW052,60.2,167.2,0.0
270,106.9,MW052,60.3,167.4,0.0
275,106.9,MW052,60.3,167.6,0.0
280,106.9,MW052,60.3,167.7,0.0
285,106.9,MW052,60.3,167.8,0.0
290,106.9,MW052,60.4,167.9,0.0
295,106.9,MW052,60.4,167.9,0.0
300,106.9,MW052,60.4,168.0,0.0
305,106.9,MW052,60.4,168.0,0.0
310,106.9,MW052,60.4,168.0,0.0
315,106.9,MW052,60.4,168.0,0.0
320,106.9,MW052,60.5,167.9,0.0
325,106.9,MW052,60.5,167.9,0.0
330,106.9,MW052,60.5,167.8,0.0
335,106.9,MW052,60.5,167.8,0.0
340,106.9,MW052,60.5,167.7,0.0
345,106.9,MW052,60.5,167.7,0.0
350,106.9,MW052,60.5,167.6,0.0
355,106.9,MW052,60.5,167.6,0.0
360,106.9,MW052,60.5,167.5,0.0
365,106.9,MW052,60.5,167.5,0.0
370,106.9,MW052,60.5,167.5,0.0
375,106.9,MW052,60.5,167.5,0.0
380,106.9,MW052,60.5,167.5,0.0
385,106.9,MW052,60.5,167.5,0.0
390,106.9,MW052,60.6,167.4,0.0
395,106.9,MW052,60.6,167.4,0.0
400,106.9,MW052,60.6,167.4,0.0
405,106.9,MW052,60.6,167.3,0.0
410,106.9,MW052,60.6,167.3,0.0
415,106.9,MW052,60.6,167.2,0.0
420,106.9,MW052,60.6,167.2,0.0
425,106.9,MW052,60.6,167.1,0.0
430,106.9,MW052,60.6,167.1,0.0
435,106.9,MW052,60.6,167.1,0.0
440,106.9,MW052,60.6,167.1,0.0
445,106.9,MW052,60.6,167.0,0.0
450,106.9,MW052,60.6,167.0,0.0
455,106.9,MW052,60.6,166.9,0.0
460,106.9,MW052,60.6,166.9,0.0
465,106.9,MW052,60.6,166.8,0.0
470,106.9,MW052,60.6,166.8,0.0
475,106.9,MW052,60.6,166.8,0.0
480,106.9,MW052,60.6,166.7,0.0
485,106.9,MW052,60.6,166.7,0.0
490,106.9,MW052,60.6,166.7,0.0
495,106.9,MW052,60.6,166.7,0.0
500,106.9,MW052,60.6,166.7,0.0
505,106.9,MW052,60.6,166.8,0.0
510,106.9,MW052,60.6,167.0,0.0
515,106.9,MW052,60.5,167.3,0.0
520,106.9,MW052,60.5,167.6,0.0
525,106.9,MW052,60.4,167.9,0.0
530,106.9,MW052,60.3,168.4,0.0
535,106.9,MW052,60.3,168.9,0.0
540,106.9,MW052,60.2,169.4,0.0
545,106.9,MW052,60.0,169.6,0.0
550,106.9,MW052,59.6,169.5,0.0
555,106.9,MW052,59.2,169.1,0.0
560,106.9,MW052,58.7,168.5,0.0
565,106.9,MW052,58.1,168.0,0.0
570,106.9,MW052,57.6,167.4,0.0
575,106.9,MW052,57.1,167.0,0.0
580,106.9,MW052,56.6,166.6,0.0
585,106.9,MW052,56.2,166.4,0.0
590,106.9,MW052,55.7,166.2,0.0
595,106.9,MW052,55.3,166.1,0.0
600,106.9,MW052,54.9,166.0,0.0
605,106.9,MW052,54.4,165.5,0.0
610,106.9,MW052,53.8,164.6,0.0
615,106.9,MW052,53.1,163.7,0.0
620,106.9,MW052,52.5,162.8,0.0
625,106.9,MW052,51.8,163.7,0.0
630,106.9,MW052,51.2,166.3,0.0
635,106.9,MW052,50.6,169.9,0.0
640,106.9,MW052,50.1,173.8,0.0
645,106.9,MW052,49.6,177.5,0.0
650,106.9,MW052,49.2,181.0,0.0
655,106.9,MW052,48.8,184.0,0.0
660,106.9,MW052,48.4,186.4,0.0
665,106.9,MW052,48.1,188.3,0.0
670,106.9,MW052,47.8,189.7,0.0
675,106.9,MW052,47.5,190.6,0.0
680,106.9,MW052,47.2,191.1,0.0
685,106.9,MW052,46.9,191.2,0.0
690,106.9,MW052,46.7,191.1,0.0
695,106.9,MW052,46.5,191.0,0.0
700,106.9,MW052,46.3,190.7,0.0
705,106.9,MW052,46.1,190.5,0.0
710,106.9,MW052,45.9,190.3,0.0
715,106.9,MW052,45.7,190.0,0.0
720,106.9,MW052,45.6,189.7,0.0
725,106.9,MW052,45.5,189.4,0.0
730,106.9,MW052,45.3,189.1,0.0
735,106.9,MW052,45.2,188.8,0.0
740,106.9,MW052,45.1,188.4,0.0
745,106.9,MW052,45.0,188.1,0.0
750,106.9,MW052,44.9,187.8,0.0
755,106.9,MW052,44.8,187.5,0.0
760,106.9,MW052,44.7,187.2,0.0
765,106.9,MW052,44.6,187.0,0.0
