time,CSB,location,AFS63,COV19,Temperature
-10,0.0,MW023,0.0,0.0,0.0
-5,0.0,MW023,0.0,0.0,0.0
0,0.0,MW023,0.0,0.0,0.0
5,107.0,MW023,65.3,0.0,0.0
10,107.0,MW023,68.3,0.0,0.0
15,107.0,MW023,68.2,0.0,0.0
20,107.0,MW023,68.0,48.5,0.0
25,106.7,MW023,67.5,557.5,0.0
30,106.5,MW023,67.4,855.3,0.0
35,106.4,MW023,67.4,1040.9,0.0
40,106.4,MW023,67.4,1176.7,0.0
45,106.3,MW023,67.5,1266.8,0.0
50,106.3,MW023,67.5,1316.6,0.0
55,106.3,MW023,67.6,1347.0,0.0
60,106.3,MW023,67.6,1371.7,0.0
65,106.3,MW023,67.6,1375.3,0.0
70,106.3,MW023,67.6,1400.7,0.0
75,106.3,MW023,67.7,1416.7,0.0
80,106.2,MW023,67.7,1425.2,0.0
85,106.2,MW023,67.7,1435.8,0.0
90,106.2,MW023,67.7,1458.2,0.0
95,106.2,MW023,67.7,1462.0,0.0
100,106.2,MW023,67.7,1460.9,0.0
105,106.2,MW023,67.7,1454.9,0.0
110,106.2,MW023,67.7,1457.3,0.0
115,106.2,MW023,67.7,1453.7,0.0
120,106.2,MW023,67.8,1472.0,0.0
125,106.2,MW023,67.7,1458.8,0.0
130,106.2,MW023,67.7,1442.3,0.0
135,106.2,MW023,67.7,1447.7,0.0
140,106.2,MW023,67.7,1463.3,0.0
145,106.2,MW023,67.8,1468.9,0.0
150,106.2,MW023,67.8,1471.3,0.0
155,106.2,MW023,67.7,1461.4,0.0
160,106.2,MW023,67.7,1460.7,0.0
165,106.2,MW023,67.7,1454.7,0.0
170,106.2,MW023,67.7,1463.1,0.0
175,106.2,MW023,67.7,1463.8,0.0
180,106.2,MW023,67.7,1456.8,0.0
185,106.2,MW023,67.7,1456.7,0.0
190,106.2,MW023,67.7,1439.0,0.0
195,106.2,MW023,67.7,1456.4,0.0
200,106.2,MW023,67.7,1462.0,0.0
205,106.2,MW023,67.7,1456.3,0.0
210,106.2,MW023,67.7,1455.3,0.0
215,106.2,MW023,67.8,1467.6,0.0
220,106.2,MW023,67.8,1497.2,0.0
225,106.2,MW023,67.8,1479.0,0.0
230,106.2,MW023,67.8,1483.5,0.0
235,106.2,MW023,67.8,1464.1,0.0
240,106.2,MW023,67.7,1437.1,0.0
245,106.2,MW023,67.7,1452.8,0.0
250,106.2,MW023,67.7,1420.6,0.0
255,106.3,MW023,67.7,1412.9,0.0
260,106.2,MW023,67.7,1426.4,0.0
265,106.2,MW023,67.7,1437.3,0.0
270,106.2,MW023,67.7,1444.5,0.0
275,106.2,MW023,67.7,1443.2,0.0
280,106.2,MW023,67.7,1447.5,0.0
285,106.2,MW023,67.7,1443.8,0.0
290,106.2,MW023,67.7,1442.3,0.0
295,106.2,MW023,67.7,1443.5,0.0
300,106.2,MW023,67.8,1464.3,0.0
305,106.2,MW023,67.7,1434.5,0.0
310,106.2,MW023,67.7,1425.7,0.0
315,106.2,MW023,67.7,1439.0,0.0
320,106.3,MW023,67.7,1413.9,0.0
325,106.2,MW023,67.7,1434.7,0.0
330,106.2,MW023,67.7,1442.8,0.0
335,106.3,MW023,67.7,1409.9,0.0
340,106.3,MW023,67.7,1414.6,0.0
345,106.2,MW023,67.7,1427.4,0.0
350,106.2,MW023,67.7,1450.2,0.0
355,106.2,MW023,67.8,1454.0,0.0
360,106.2,MW023,67.7,1445.9,0.0
365,106.2,MW023,67.7,1439.0,0.0
370,106.2,MW023,67.7,1440.1,0.0
375,106.2,MW023,67.8,1455.5,0.0
380,106.2,MW023,67.8,1462.8,0.0
385,106.2,MW023,67.8,1463.0,0.0
390,106.2,MW023,67.8,1456.2,0.0
395,106.2,MW023,67.7,1449.9,0.0
400,106.2,MW023,67.8,1479.3,0.0
405,106.2,MW023,67.8,1479.0,0.0
410,106.2,MW023,67.8,1465.7,0.0
415,106.2,MW023,67.8,1458.4,0.0
420,106.2,MW023,67.7,1446.8,0.0
425,106.2,MW023,67.7,1441.4,0.0
430,106.2,MW023,67.8,1454.1,0.0
435,106.3,MW023,67.7,1418.4,0.0
440,106.3,MW023,67.7,1415.4,0.0
445,106.2,MW023,67.7,1420.5,0.0
450,106.2,MW023,67.7,1437.2,0.0
455,106.2,MW023,67.7,1443.1,0.0
460,106.2,MW023,67.8,1453.9,0.0
465,106.2,MW023,67.7,1447.3,0.0
470,106.2,MW023,67.7,1446.2,0.0
475,106.2,MW023,67.7,1447.0,0.0
480,106.2,MW023,67.7,1441.8,0.0
485,106.2,MW023,67.8,1468.5,0.0
490,106.2,MW023,67.8,1595.7,0.0
495,106.1,MW023,68.0,1694.1,0.0
500,106.1,MW023,68.1,1789.7,0.0
505,106.0,MW023,68.2,1851.1,0.0
510,106.0,MW023,68.2,1876.8,0.0
515,106.0,MW023,68.3,1921.6,0.0
520,106.0,MW023,68.3,1951.0,0.0
525,106.0,MW023,68.3,1940.8,0.0
530,106.0,MW023,68.3,1945.7,0.0
535,106.0,MW023,68.3,1938.6,0.0
540,106.0,MW023,68.3,1939.5,0.0
545,106.0,MW023,68.3,1954.9,0.0
550,105.9,MW023,68.3,2025.8,0.0
555,105.9,MW023,68.3,2069.1,0.0
560,105.9,MW023,68.3,2106.6,0.0
565,105.9,MW023,68.3,2107.8,0.0
570,105.9,MW023,68.3,2099.5,0.0
575,105.9,MW023,68.3,2092.2,0.0
