time,CSB,location,AFS63,COV19,Temperature
-10,0.0,MW064,0.0,0.0,0.0
-5,0.0,MW064,0.0,0.0,0.0
0,0.0,MW064,0.0,0.0,0.0
5,107.0,MW064,8.0,0.1,0.0
10,107.0,MW064,8.0,0.1,0.0
15,107.0,MW064,8.1,0.2,0.0
20,107.0,MW064,8.2,0.4,0.0
25,107.0,MW064,8.4,0.5,0.0
30,107.0,MW064,8.6,0.7,0.0
35,107.0,MW064,9.0,0.8,0.0
40,107.0,MW064,9.6,0.9,0.0
45,107.0,MW064,10.8,1.1,0.0
50,107.0,MW064,13.1,1.6,0.0
55,107.0,MW064,16.7,2.9,0.0
60,107.0,MW064,21.0,5.5,0.0
65,107.0,MW064,25.5,9.8,0.0
70,107.0,MW064,29.6,15.7,0.0
75,107.0,MW064,33.2,23.0,0.0
80,107.0,MW064,36.3,31.3,0.0
85,107.0,MW064,38.9,39.9,0.0
90,107.0,MW064,41.1,48.4,0.0
95,107.0,MW064,43.0,56.7,0.0
100,107.0,MW064,44.6,64.3,0.0
105,107.0,MW064,45.9,71.4,0.0
110,107.0,MW064,47.1,77.9,0.0
115,107.0,MW064,48.1,83.8,0.0
120,107.0,MW064,49.0,89.1,0.0
125,107.0,MW064,49.8,94.0,0.0
130,106.9,MW064,50.5,98.4,0.0
135,106.9,MW064,51.1,102.5,0.0
140,106.9,MW064,51.7,106.2,0.0
145,106.9,MW064,52.2,109.5,0.0
150,106.9,MW064,52.7,112.6,0.0
155,106.9,MW064,53.1,115.4,0.0
160,106.9,MW064,53.5,118.0,0.0
165,106.9,MW064,53.8,120.5,0.0
170,106.9,MW064,54.1,122.7,0.0
175,106.9,MW064,54.4,124.8,0.0
180,106.9,MW064,54.7,126.7,0.0
185,106.9,MW064,54.9,128.5,0.0
190,106.9,MW064,55.2,130.2,0.0
195,106.9,MW064,55.4,131.8,0.0
200,106.9,MW064,55.6,133.3,0.0
205,106.9,MW064,55.8,134.7,0.0
210,106.9,MW064,56.0,136.0,0.0
215,106.9,MW064,56.1,137.2,0.0
220,106.9,MW064,56.3,138.4,0.0
225,106.9,MW064,56.5,139.5,0.0
230,106.9,MW064,56.6,140.5,0.0
235,106.9,MW064,56.7,141.5,0.0
240,106.9,MW064,56.9,142.5,0.0
245,106.9,MW064,57.0,143.3,0.0
250,106.9,MW064,57.1,144.2,0.0
255,106.9,MW064,57.2,144.9,0.0
260,106.9,MW064,57.3,145.7,0.0
265,106.9,MW064,57.4,146.4,0.0
270,106.9,MW064,57.5,147.1,0.0
275,106.9,MW064,57.6,147.7,0.0
280,106.9,MW064,57.7,148.3,0.0
285,106.9,MW064,57.7,148.9,0.0
290,106.9,MW064,57.8,149.4,0.0
295,106.9,MW064,57.9,149.9,0.0
300,106.9,MW064,58.0,150.4,0.0
305,106.9,MW064,58.0,150.9,0.0
310,106.9,MW064,58.1,151.3,0.0
315,106.9,MW064,58.1,151.7,0.0
320,106.9,MW064,58.2,152.1,0.0
325,106.9,MW064,58.2,152.5,0.0
330,106.9,MW064,58.3,152.8,0.0
335,106.9,MW064,58.4,153.1,0.0
340,106.9,MW064,58.4,153.5,0.0
345,106.9,MW064,58.4,153.8,0.0
350,106.9,MW064,58.5,154.1,0.0
355,106.9,MW064,58.5,154.3,0.0
360,106.9,MW064,58.6,154.6,0.0
365,106.9,MW064,58.6,154.9,0.0
370,106.9,MW064,58.7,155.1,0.0
375,106.9,MW064,58.7,155.3,0.0
380,106.9,MW064,58.7,155.6,0.0
385,106.9,MW064,58.8,155.8,0.0
390,106.9,MW064,58.8,156.0,0.0
395,106.9,MW064,58.8,156.2,0.0
400,106.9,MW064,58.9,156.4,0.0
405,106.9,MW064,58.9,156.6,0.0
410,106.9,MW064,58.9,156.8,0.0
415,106.9,MW064,58.9,156.9,0.0
420,106.9,MW064,59.0,157.1,0.0
425,106.9,MW064,59.0,157.3,0.0
430,106.9,MW064,59.0,157.4,0.0
435,106.9,MW064,59.0,157.6,0.0
440,106.9,MW064,59.1,157.7,0.0
445,106.9,MW064,59.1,157.8,0.0
450,106.9,MW064,59.1,158.0,0.0
455,106.9,MW064,59.1,158.1,0.0
460,106.9,MW064,59.2,158.2,0.0
465,106.9,MW064,59.2,158.4,0.0
470,106.9,MW064,59.2,158.5,0.0
475,106.9,MW064,59.2,158.6,0.0
480,106.9,MW064,59.2,158.7,0.0
485,106.9,MW064,59.3,158.8,0.0
490,106.9,MW064,59.3,158.9,0.0
495,106.9,MW064,59.3,159.0,0.0
500,106.9,MW064,59.3,159.1,0.0
505,106.9,MW064,59.3,159.2,0.0
510,106.9,MW064,59.3,159.3,0.0
515,106.9,MW064,59.4,159.4,0.0
520,106.9,MW064,59.4,159.5,0.0
525,106.9,MW064,59.4,159.6,0.0
530,106.9,MW064,59.4,159.7,0.0
535,106.9,MW064,59.4,159.8,0.0
540,106.9,MW064,59.4,159.9,0.0
545,106.9,MW064,59.4,160.0,0.0
550,106.9,MW064,59.4,160.1,0.0
555,106.9,MW064,59.4,160.2,0.0
560,106.9,MW064,59.4,160.3,0.0
565,106.9,MW064,59.4,160.4,0.0
570,106.9,MW064,59.4,160.5,0.0
575,106.9,MW064,59.4,160.5,0.0
580,106.9,MW064,59.3,160.6,0.0
585,106.9,MW064,59.3,160.7,0.0
590,106.9,MW064,59.3,160.7,0.0
595,106.9,MW064,59.2,160.7,0.0
600,106.9,MW064,59.2,160.8,0.0
605,106.9,MW064,59.1,160.8,0.0
610,106.9,MW064,59.1,160.9,0.0
615,106.9,MW064,59.0,160.9,0.0
620,106.9,MW064,59.0,160.9,0.0
625,106.9,MW064,58.9,160.9,0.0
630,106.9,MW064,58.8,160.9,0.0
635,106.9,MW064,58.7,161.0,0.0
640,106.9,MW064,58.6,161.1,0.0
645,106.9,MW064,58.5,161.3,0.0
650,106.9,MW064,58.5,161.4,0.0
655,106.9,MW064,58.4,161.6,0.0
660,106.9,MW064,58.3,161.8,0.0
665,106.9,MW064,58.2,162.1,0.0
670,106.9,MW064,58.0,162.3,0.0
675,106.9,MW064,57.9,162.6,0.0
680,106.9,MW064,57.8,162.8,0.0
685,106.9,MW064,57.7,163.1,0.0
690,106.9,MW064,57.6,163.3,0.0
695,106.9,MW064,57.5,163.6,0.0
700,106.9,MW064,57.4,163.8,0.0
705,106.9,MW064,57.3,164.1,0.0
710,106.9,MW064,57.2,164.3,0.0
715,106.9,MW064,57.1,164.5,0.0
720,106.9,MW064,57.0,164.8,0.0
725,106.9,MW064,56.9,165.0,0.0
730,106.9,MW064,56.8,165.2,0.0
735,106.9,MW064,56.7,165.4,0.0
740,106.9,MW064,56.6,165.6,0.0
745,106.9,MW064,56.5,165.8,0.0
750,106.9,MW064,56.4,166.0,0.0
755,106.9,MW064,56.3,166.1,0.0
760,106.9,MW064,56.2,166.3,0.0
765,106.9,MW064,56.1,166.5,0.0
770,106.9,MW064,56.0,166.7,0.0
775,106.9,MW064,55.9,166.8,0.0
780,106.9,MW064,55.8,167.0,0.0
785,106.9,MW064,55.7,167.1,0.0
790,106.9,MW064,55.6,167.3,0.0
795,106.9,MW064,55.5,167.4,0.0
800,106.9,MW064,55.4,167.6,0.0
805,106.9,MW064,55.3,167.7,0.0
810,106.9,MW064,55.2,167.9,0.0
815,106.9,MW064,55.1,168.0,0.0
820,106.9,MW064,55.1,168.2,0.0
825,106.9,MW064,55.0,168.3,0.0
830,106.9,MW064,54.9,168.4,0.0
835,106.9,MW064,54.8,168.5,0.0
840,106.9,MW064,54.7,168.7,0.0
845,106.9,MW064,54.6,168.8,0.0
850,106.9,MW064,54.5,168.9,0.0
855,106.9,MW064,54.5,169.0,0.0
860,106.9,MW064,54.4,169.2,0.0
865,106.9,MW064,54.3,169.3,0.0
870,106.9,MW064,54.2,169.4,0.0
875,106.9,MW064,54.1,169.5,0.0
880,106.9,MW064,54.1,169.6,0.0
885,106.9,MW064,54.0,169.7,0.0
890,106.9,MW064,53.9,169.8,0.0
